filename,width,height,class,xmin,ymin,xmax,ymax
a1fe9cef4e769f75b9d7d81f908ba1c1-768x767.jpg,768,767,screw,70,147,690,674
776926670_w640_h640_bolt_melkaya_rezba_961.jpg,1004,1004,screw,155,135,465,739
776926670_w640_h640_bolt_melkaya_rezba_961.jpg,1004,1004,screw,584,280,904,742
pl14343803-m20_x_2_x_160_bolts_for_ball_mills_eb079.jpg,293,220,screw,69,30,244,182
20170314120354_82833.jpg,648,272,screw,64,126,161,206
20170314120354_82833.jpg,648,272,screw,130,77,222,160
20170314120354_82833.jpg,648,272,screw,221,40,274,134
20170314120354_82833.jpg,648,272,screw,317,40,361,133
20170314120354_82833.jpg,648,272,screw,384,47,438,137
20170314120354_82833.jpg,648,272,screw,447,81,529,165
20170314120354_82833.jpg,648,272,screw,508,117,593,200
35bc69f7-4bc5-4fa2-a37c-d6a106e1577b.jpg,252,111,screw,9,6,246,104
bolt-and-nut-for-steel-structure.jpg,800,800,screw,223,234,331,626
bolt-and-nut-for-steel-structure.jpg,800,800,screw,358,244,476,617
bolt-and-nut-for-steel-structure.jpg,800,800,screw,472,238,580,623
5f395b0e9ffae888da379bec364a0a35.jpg,800,533,screw,190,46,650,453
HTSFG1012X150X40.jpg,1245,800,screw,32,151,1212,694
BOLT-HEXAGON-HEAD-GRADE-HIGH-TENSILE-ZINC-PLATED1.jpg,1200,950,screw,60,455,267,839
BOLT-HEXAGON-HEAD-GRADE-HIGH-TENSILE-ZINC-PLATED1.jpg,1200,950,screw,288,380,505,842
BOLT-HEXAGON-HEAD-GRADE-HIGH-TENSILE-ZINC-PLATED1.jpg,1200,950,screw,567,229,791,861
BOLT-HEXAGON-HEAD-GRADE-HIGH-TENSILE-ZINC-PLATED1.jpg,1200,950,screw,886,117,1124,873
495a9c83feb81e7db3200f99af404363.jpeg,902,906,screw,241,208,683,660
din24017_thumb.jpg,440,348,screw,65,55,121,187
din24017_thumb.jpg,440,348,screw,132,35,188,164
din24017_thumb.jpg,440,348,screw,220,141,316,214
din24017_thumb.jpg,440,348,screw,293,142,394,213
China-wholesaler-supply-Hex-bolt-with-nut.jpg,800,800,screw,184,115,276,474
China-wholesaler-supply-Hex-bolt-with-nut.jpg,800,800,screw,311,191,407,411
China-wholesaler-supply-Hex-bolt-with-nut.jpg,800,800,screw,419,157,520,348
China-wholesaler-supply-Hex-bolt-with-nut.jpg,800,800,screw,259,350,573,573
China-wholesaler-supply-Hex-bolt-with-nut.jpg,800,800,screw,384,389,587,602
China-wholesaler-supply-Hex-bolt-with-nut.jpg,800,800,screw,519,418,626,610
Made-in-Taiwan-DIN-931-Hexagon-Cap.jpg,960,960,screw,98,379,862,596
162_original.jpg,280,280,screw,21,96,258,184
6b2ccfa7d7b8c5dc2ff016089f623d7d.jpg,800,530,screw,257,85,514,429
6b2ccfa7d7b8c5dc2ff016089f623d7d.jpg,800,530,screw,389,165,598,425
6b2ccfa7d7b8c5dc2ff016089f623d7d.jpg,800,530,screw,555,185,727,453
844f361d-bc03-4e74-b743-049ffc914a4a_big_new.jpg,690,450,screw,208,120,301,335
844f361d-bc03-4e74-b743-049ffc914a4a_big_new.jpg,690,450,screw,316,87,397,383
844f361d-bc03-4e74-b743-049ffc914a4a_big_new.jpg,690,450,screw,406,139,512,428
1288881430.19061.4376.19061.jpg,800,598,screw,121,159,631,503
0ed2ec7c2fb5a3e3f6cee16543f2ac25.jpg,240,180,screw,39,53,195,116
859769264_w640_h640_cid2716462_pid564277162-28f1ef1b.jpg,1280,828,screw,473,175,1203,633
10_1238502392.jpg,300,260,screw,44,131,232,199
10_1238502392.jpg,300,260,screw,57,52,248,116
12481.jpg,900,675,screw,37,194,840,414
386322833_485.jpg,800,533,screw,281,103,387,376
386322833_485.jpg,800,533,screw,416,131,529,378
7798.jpg,200,100,screw,12,11,187,90
C002.JPG,531,399,screw,136,67,216,252
C002.JPG,531,399,screw,63,255,251,323
C002.JPG,531,399,screw,182,266,344,369
C002.JPG,531,399,screw,353,29,469,281
din_931_1.jpg,800,533,screw,39,176,744,375
4014-500x500.jpg,500,500,screw,21,91,489,399
i.jpeg,480,320,screw,44,99,433,229
50681ec0ae8acb67edc54192ece02133.jpg,800,533,screw,107,110,703,413
18_95.jpg,640,480,screw,23,158,624,426
llll.jpg,912,735,screw,39,453,304,687
llll.jpg,912,735,screw,221,444,478,654
llll.jpg,912,735,screw,153,177,610,555
llll.jpg,912,735,screw,411,180,701,425
llll.jpg,912,735,screw,423,31,857,346
fe3841b483a8776854ca70cef0cacbbf.jpeg,1200,709,screw,57,119,1096,615
HTB1GwoNNFXXXXaPXFXXq6xXFXXXE.jpg,749,666,screw,73,14,289,281
HTB1GwoNNFXXXXaPXFXXq6xXFXXXE.jpg,749,666,screw,156,110,357,337
HTB1GwoNNFXXXXaPXFXXq6xXFXXXE.jpg,749,666,screw,431,102,719,312
HTB1GwoNNFXXXXaPXFXXq6xXFXXXE.jpg,749,666,screw,27,359,376,630
HTB1GwoNNFXXXXaPXFXXq6xXFXXXE.jpg,749,666,screw,417,429,535,623
HTB1GwoNNFXXXXaPXFXXq6xXFXXXE.jpg,749,666,screw,525,390,659,591
HTB1GwoNNFXXXXaPXFXXq6xXFXXXE.jpg,749,666,screw,624,416,745,629
depositphotos_12362005-Hex-bolt..jpg,450,300,screw,40,71,405,212
1310443304.jpg,800,533,screw,94,215,167,430
1310443304.jpg,800,533,screw,189,200,262,412
1310443304.jpg,800,533,screw,277,186,347,399
1310443304.jpg,800,533,screw,371,178,435,387
1310443304.jpg,800,533,screw,467,140,522,373
1310443304.jpg,800,533,screw,546,151,592,360
1310443304.jpg,800,533,screw,598,118,644,353
1310443304.jpg,800,533,screw,660,151,710,340
1191474421614jpg.jpg,636,403,screw,63,127,589,266
20140919153947_39856.jpg,360,270,screw,66,74,262,182
27nd078348.jpg,833,604,screw,157,126,718,482
2531224387834040_2.jpg,140,128,screw,5,63,137,118
